feature,importance
time,0.2134725341492266
throttle_position,0.19260000650978104
lap_time_x,0.1772349343777923
speed,0.1765678626580883
gear,0.12141537103943048
rpm,0.11870929126568129
lap,0.0
lap_time_y,0.0
pit_stop_time,0.0
acceleration,0.0
